subsystem|bucket|file|line|size_expr|hint|code
bgp/reactor|C|internal/component/bgp/reactor/filter_delta.go|75|0, len(tokens[2:]|builder cap variable (len(tokens[2:])|buf := make([]byte, 0, len(tokens[2:])*5)
bgp/reactor|C|internal/component/bgp/reactor/filter_delta.go|313|totalSize|variable (totalSize)|buf := make([]byte, totalSize)
bgp/reactor|C|internal/component/bgp/reactor/filter_delta.go|385|len(tokens|variable (len(tokens)|buf := make([]byte, len(tokens)*4)
bgp/reactor|C|internal/component/bgp/reactor/filter_delta.go|403|len(tokens|variable (len(tokens)|buf := make([]byte, len(tokens)*12)
bgp/reactor|C|internal/component/bgp/reactor/filter_delta.go|450|len(tokens|variable (len(tokens)|buf := make([]byte, len(tokens)*4)
bgp/reactor|C|internal/component/bgp/reactor/filter_delta.go|501|wireLen|variable (wireLen)|buf := make([]byte, wireLen)
bgp/reactor|C|internal/component/bgp/reactor/forward_build.go|122|needSize|variable (needSize)|buf = make([]byte, needSize)
bgp/reactor|C|internal/component/bgp/reactor/forward_build.go|303|off|variable (off)|result := make([]byte, off)
bgp/reactor|C|internal/component/bgp/reactor/forward_build.go|343|2+len(nlriBytes|variable (2+len(nlriBytes)|result := make([]byte, 2+len(nlriBytes)+2)
bgp/reactor|C|internal/component/bgp/reactor/forward_build.go|403|3+len(nlriData|variable (3+len(nlriData)|unreachVal := make([]byte, 3+len(nlriData))
bgp/reactor|C|internal/component/bgp/reactor/forward_build.go|411|4+len(unreachVal|variable (4+len(unreachVal)|unreachAttr = make([]byte, 4+len(unreachVal))
bgp/reactor|C|internal/component/bgp/reactor/forward_build.go|417|3+len(unreachVal|variable (3+len(unreachVal)|unreachAttr = make([]byte, 3+len(unreachVal))
bgp/reactor|C|internal/component/bgp/reactor/forward_build.go|425|2+2+len(unreachAttr|variable (2+2+len(unreachAttr)|result := make([]byte, 2+2+len(unreachAttr))
bgp/reactor|C|internal/component/bgp/reactor/peer_static_routes.go|242|totalSize|variable (totalSize)|buf := make([]byte, totalSize)
bgp/reactor|C|internal/component/bgp/reactor/reactor_api_forward.go|935|len(data|variable (len(data)|result := make([]byte, len(data))
bgp/reactor|C|internal/component/bgp/reactor/reactor_notify.go|283|len(rawBytes|variable (len(rawBytes)|bytes := make([]byte, len(rawBytes))
bgp/reactor|C|internal/component/bgp/reactor/session_negotiate.go|161|2+capTotal|variable (2+capTotal)|buf := make([]byte, 2+capTotal)
bgp/reactor|C|internal/component/bgp/reactor/session_validation.go|272|len(families|variable (len(families)|data := make([]byte, len(families)*6)
bgp/reactor|C|internal/component/bgp/reactor/session_validation.go|294|len(codes|variable (len(codes)|data := make([]byte, len(codes)*2)
bgp/reactor|A|internal/component/bgp/reactor/bufmux.go|45|total*bufSize|pool backing (total*bufSize)|backing   []byte // single allocation: make([]byte, total*bufSize)
bgp/reactor|A|internal/component/bgp/reactor/bufmux.go|103|count*bufSize|pool backing (count*bufSize)|backing:   make([]byte, count*bufSize),
bgp/reactor|A|internal/component/bgp/reactor/bufmux.go|789|needed*overflowBlockSize|pool backing (needed*overflowBlockSize)|backing := make([]byte, needed*overflowBlockSize) // one allocation: buffer memory
bgp/reactor|A|internal/component/bgp/reactor/filter_delta.go|352|4|literal 4|buf := make([]byte, 4)
bgp/reactor|A|internal/component/bgp/reactor/filter_delta.go|371|8|literal 8|buf := make([]byte, 8)
bgp/reactor|A|internal/component/bgp/reactor/forward_build.go|21|4096|literal 4096|buf := make([]byte, 4096)
bgp/reactor|A|internal/component/bgp/reactor/forward_build.go|119|4096|literal 4096|buf = make([]byte, 4096)
bgp/reactor|A|internal/component/bgp/reactor/forward_pool.go|219|peerPoolSize*bufSize|pool backing (peerPoolSize*bufSize)|backing: make([]byte, peerPoolSize*bufSize),
bgp/reactor|A|internal/component/bgp/reactor/listener.go|157|4096|literal 4096|buf := make([]byte, 4096)
bgp/reactor|A|internal/component/bgp/reactor/listener.go|209|4096|literal 4096|buf := make([]byte, 4096)
bgp/reactor|A|internal/component/bgp/reactor/peer_initial_sync.go|27|4096|literal 4096|buf := make([]byte, 4096)
bgp/reactor|A|internal/component/bgp/reactor/peer_run.go|168|4096|literal 4096|buf := make([]byte, 4096)
bgp/reactor|A|internal/component/bgp/reactor/peer_run.go|402|4096|literal 4096|buf := make([]byte, 4096)
bgp/reactor|A|internal/component/bgp/reactor/reactor.go|1294|4096|literal 4096|buf := make([]byte, 4096)
bgp/reactor|A|internal/component/bgp/reactor/reactor_api.go|773|total|named constant total|buf := make([]byte, total)
bgp/reactor|A|internal/component/bgp/reactor/reactor_api_forward.go|792|32|literal 32|nh := make([]byte, 32)
bgp/reactor|A|internal/component/bgp/reactor/reactor_connection.go|175|message.MaxMsgLen|named constant message.MaxMsgLen|buf := make([]byte, message.MaxMsgLen)
bgp/reactor|A|internal/component/bgp/reactor/recent_cache.go|212|4096|literal 4096|buf := make([]byte, 4096)
bgp/reactor|A|internal/component/bgp/reactor/session.go|578|4096|literal 4096|buf := make([]byte, 4096)
bgp/reactor|A|internal/component/bgp/reactor/session_prefix.go|392|7|literal 7|data := make([]byte, 7)
bgp/reactor|A|internal/component/bgp/reactor/signal.go|143|4096|literal 4096|buf := make([]byte, 4096)
bgp/rib|C|internal/component/bgp/rib/commit.go|160|totalSize|variable (totalSize)|nlriBytes := make([]byte, totalSize)
bgp/rib|C|internal/component/bgp/rib/commit.go|194|nlriLen|variable (nlriLen)|nlriBytes := make([]byte, nlriLen)
bgp/rib|C|internal/component/bgp/rib/commit.go|295|totalLen|variable (totalLen)|buf := make([]byte, totalLen)
bgp/rib|C|internal/component/bgp/rib/commit.go|446|valueLen|variable (valueLen)|value := make([]byte, valueLen)
bgp/rib|C|internal/component/bgp/rib/grouping.go|135|attr.Len(|variable (attr.Len()|attrBuf := make([]byte, attr.Len())
bgp/rib|C|internal/component/bgp/rib/outgoing.go|152|3+nlriLen|variable (3+nlriLen)|buf := make([]byte, 3+nlriLen)
bgp/rib|C|internal/component/bgp/rib/route.go|199|r.nlri.Len(|variable (r.nlri.Len()|buf := make([]byte, r.nlri.Len())
bgp/rib|C|internal/component/bgp/rib/route.go|205|nlriLen|variable (nlriLen)|buf := make([]byte, nlriLen)
bgp/rib|C|internal/component/bgp/rib/route.go|234|totalSize|variable (totalSize)|result := make([]byte, totalSize)
bgp/rib|C|internal/component/bgp/rib/route.go|268|size|variable (size)|buf := make([]byte, size)
bgp/rib|C|internal/component/bgp/rib/store.go|46|h.attr.Len(|variable (h.attr.Len()|buf := make([]byte, h.attr.Len())
bgp/rib|C|internal/component/bgp/rib/store.go|65|hLen|variable (hLen)|hBytes := make([]byte, hLen)
bgp/rib|C|internal/component/bgp/rib/store.go|67|oLen|variable (oLen)|oBytes := make([]byte, oLen)
bgp/rib|C|internal/component/bgp/rib/store.go|93|payloadLen|variable (payloadLen)|payload := make([]byte, payloadLen)
bgp/rib|C|internal/component/bgp/rib/store.go|98|4+payloadLen|variable (4+payloadLen)|key := make([]byte, 4+payloadLen)
bgp/rib|C|internal/component/bgp/rib/update.go|68|attribute.AttributesSize(attrs|variable (attribute.AttributesSize(attrs)|attrBytes := make([]byte, attribute.AttributesSize(attrs))
